MoleculeIdx,ProtonatedIdx,ReferenceSmiles,ProtonatedSmiles,NeutralEnergy,ProtonatedEnergy
183,2,CC(N)(CN)CN,CC(N)(CN)C[NH3+],-13.09712,15.28035
184,0,CC(N)(CN)CO,CC([NH3+])(CN)CO,-63.08432,-36.06562
184,1,CC(N)(CN)CO,CC(N)(C[NH3+])CO,-63.08432,-30.77215
185,0,CC(N)(CN)CF,CC([NH3+])(CN)CF,-63.20021,-40.60037
185,1,CC(N)(CN)CF,CC(N)(C[NH3+])CF,-63.20021,-35.84718
186,0,CC(N)(CO)CO,CC([NH3+])(CO)CO,-111.67643,-81.57491
187,0,CC(N)(CO)CF,CC([NH3+])(CO)CF,-111.58459,-86.11906
188,0,CC(N)(CF)CF,CC([NH3+])(CF)CF,-111.76513,-90.42537
189,0,CCC(C)(O)CN,CCC(C)(O)C[NH3+],-71.22565,-43.59437
190,0,CC(O)(CN)CN,CC(O)(CN)C[NH3+],-59.87141,-31.83379
190,1,CC(O)(CN)CN,CC(O)(CN)C[NH3+],-59.87141,-32.04622
191,0,CC(O)(CN)CO,CC(O)(C[NH3+])CO,-109.74016,-77.40323
192,0,CC(O)(CN)CF,CC(O)(C[NH3+])CF,-110.06918,-82.57352
